Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time (sec)
Logistic Regression,0.9736721531033025,0.053035143769968054,0.8736842105263158,0.1,0.9626184886409772,1.9761120000039227
Decision Tree,0.9855672646530151,0.08294930875576037,0.7578947368421053,0.14953271028037382,0.8162996147232037,44.73387629998615
Random Forest,0.9989955239135798,0.6727272727272727,0.7789473684210526,0.7219512195121951,0.9810631855804097,48.17291180003667
KNN,0.9979734254396786,0.4425287356321839,0.8105263157894737,0.5724907063197026,0.9099672138458094,0.0812531000119634
